 INVESTIGAÇÃO DENGUE A PARTIR DE 2014
Frequência por Mun infec SC e Sem.Epid.Sintomas
Classificacao Nova: Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Dengue, Dengue com sinais de alarme, Dengre grave
Conf.Desc pos2010: Laboratórial, Clínico-epidemiológico
Período:2022
"Mun infec SC";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"421510 Rodeio";0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4
"421520 Romelândia";0;0;0;0;1;9;21;26;69;74;50;43;30;22;11;8;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;368
"421535 Saltinho";0;0;0;0;0;0;0;0;0;0;1;1;3;3;2;6;4;8;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
"421555 Santa Helena";0;0;0;0;0;0;2;2;4;2;3;1;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
"421568 Santa Terezinha do Progresso";0;0;0;0;0;0;0;0;0;3;9;9;18;25;29;32;37;62;28;23;8;2;4;1;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;296
"421569 Santiago do Sul";0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;7;7;13;6;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41
"421575 São Bernardino";0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
"421600 São Carlos";0;0;0;0;0;0;0;0;0;0;0;2;7;10;16;23;20;21;8;7;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119
"421610 São Domingos";0;0;0;0;0;0;0;0;0;0;0;0;1;4;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
"421620 São Francisco do Sul";0;0;0;0;0;0;0;0;0;0;2;0;4;2;6;14;13;23;19;17;19;25;7;4;8;3;1;3;1;1;2;2;2;0;1;0;0;0;0;0;0;1;1;0;0;1;1;2;0;0;3;0;188
"421630 São João Batista";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;2;3;1;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;22
"421625 São João do Oeste";0;0;0;0;0;0;0;0;0;4;4;1;6;11;4;4;10;11;9;3;5;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
"421660 São José";0;0;0;0;0;0;0;1;0;1;2;5;3;9;10;16;10;18;12;13;7;8;2;1;2;2;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;128
"421670 São José do Cedro";0;0;0;0;1;13;12;24;79;127;154;191;184;156;141;89;64;70;44;21;1;1;0;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1377
"421690 São Lourenço do Oeste";0;0;0;0;0;0;0;0;0;0;3;6;3;3;2;0;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
"421715 São Miguel da Boa Vista";0;0;0;0;0;0;0;0;2;3;0;4;10;20;25;21;10;17;13;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131
"421720 São Miguel do Oeste";0;0;1;0;0;0;2;8;10;43;71;81;90;101;99;97;118;126;112;45;41;11;2;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1064
"421730 Saudades";0;0;0;0;0;0;1;1;2;0;1;3;8;8;45;20;47;20;25;17;2;7;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211
"421740 Schroeder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421750 Seara";0;2;0;1;7;15;37;33;94;157;176;222;153;193;191;154;85;130;47;22;6;4;3;2;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1740
"421755 Serra Alta";0;0;0;0;0;0;0;0;0;0;1;0;2;3;0;3;1;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
"421775 Sul Brasil";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
"421795 Tigrinhos";0;0;0;0;0;0;0;0;0;1;1;1;12;12;4;8;7;17;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70
"421800 Tijucas";0;0;0;0;0;0;0;0;0;0;1;0;2;3;5;4;5;9;13;9;3;4;1;2;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;66
"421820 Timbó";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"421870 Tubarão";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"421875 Tunápolis";0;0;0;0;1;0;5;2;3;5;13;2;14;5;3;13;6;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;84
"421890 Urubici";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421900 Urussanga";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421910 Vargeão";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421950 Xanxerê";0;0;0;1;1;1;4;18;65;132;204;252;180;213;168;171;109;133;48;19;10;5;3;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1741
"421960 Xavantina";0;0;0;0;0;0;0;0;0;0;1;6;2;11;11;5;9;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57
"421970 Xaxim";0;0;0;0;1;0;0;1;2;6;10;16;17;19;12;20;13;4;5;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130
"Total";2;16;14;31;60;160;320;502;1564;2982;3640;5622;6576;6928;7654;8175;7048;8146;6308;5093;3368;2344;1297;925;837;556;380;269;166;128;109;66;62;50;49;45;49;38;31;14;22;12;9;9;4;12;6;16;11;9;12;13;81759
