DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Santa Catarina
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
UF F.infecção: 42 Santa Catarina
Class. Final: Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Dengue, Dengue com sinais de alarme
Criterio conf.: Laboratórial, Clínico-epidemiológico
Período:2023
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"421625 SAO JOAO DO OESTE";-;-;-;-;-;2;3;1;4;1;1;1;3;7;10;8;4;6;5;4;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64
"421630 SAO JOAO BATISTA";-;-;-;-;-;1;-;-;1;1;-;4;6;2;7;9;1;2;7;2;3;1;2;4;1;2;1;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;2;-;-;-;-;1;-;-;-;-;63
"421635 SAO JOAO DO ITAPERIU";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421660 SAO JOSE";1;1;-;6;46;16;18;43;111;219;391;476;624;692;798;877;836;515;604;512;297;187;100;114;49;16;25;24;13;4;5;-;4;2;-;1;-;-;-;1;-;-;-;-;3;-;-;1;-;1;2;1;7636
"421690 SAO LOURENCO DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421700 SAO LUDGERO";-;-;-;-;-;-;-;-;-;1;1;-;5;2;1;2;5;6;8;6;4;4;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49
"421720 SAO MIGUEL DO OESTE";-;-;-;-;-;-;-;1;-;-;-;1;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"421725 SAO PEDRO DE ALCANTARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421730 SAUDADES";-;-;-;-;-;1;-;-;6;15;11;16;33;27;43;69;64;43;60;28;12;12;11;8;2;2;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;467
"421750 SEARA";-;-;-;1;-;-;-;-;1;-;1;-;-;1;1;-;-;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;13
"421770 SOMBRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;7;10;7;3;5;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41
"421795 TIGRINHOS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421800 TIJUCAS";-;-;-;-;-;-;-;-;-;-;-;4;5;4;8;10;19;31;21;16;28;17;35;37;29;14;14;8;5;3;5;5;-;-;1;1;-;1;-;-;1;-;-;-;-;-;-;-;5;4;3;1;335
"421820 TIMBO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;3;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"421870 TUBARAO";-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"421875 TUNAPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421885 UNIAO DO OESTE";-;-;-;-;-;-;-;-;-;-;5;14;21;25;28;18;9;14;8;3;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;148
"421950 XANXERE";-;-;-;-;-;-;-;-;1;2;-;-;2;1;1;4;2;5;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;24
"421960 XAVANTINA";-;-;-;-;-;-;-;-;-;1;-;-;2;3;-;5;5;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"421970 XAXIM";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;2;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;11
"Ignorado - BR";-;-;-;2;1;-;1;3;9;16;10;28;29;56;78;106;66;23;36;35;10;14;7;15;11;13;11;5;2;-;-;1;1;-;-;-;-;-;1;-;1;-;-;1;-;1;1;1;-;1;-;-;596
"Total";20;33;52;119;279;404;465;600;1214;1812;2941;4606;6840;8743;9232;9608;9229;10383;10186;8080;5217;4614;3807;3466;1932;1499;1264;867;599;367;291;192;166;129;97;75;80;103;77;67;62;56;65;51;83;76;75;92;87;122;85;82;110691
Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB
 (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de
 alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas do Espírito Santo
 foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações com data de
 notificação do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 04/03/2024 à 01 hora, sujeitos à revisão.
 Dados de 2024 atualizados em 18/03/2024 às 01:26 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em março de 2024.
 
